pk,model,object_id,content_type
1,core.facebook_feed_generic,68,"[""persons"", ""person""]"
2,core.facebook_feed_generic,55,"[""persons"", ""person""]"
3,core.facebook_feed_generic,3,"[""persons"", ""person""]"
4,core.facebook_feed_generic,63,"[""persons"", ""person""]"
5,core.facebook_feed_generic,9,"[""persons"", ""person""]"
6,core.facebook_feed_generic,21,"[""persons"", ""person""]"
7,core.facebook_feed_generic,8,"[""persons"", ""person""]"
8,core.facebook_feed_generic,23,"[""persons"", ""person""]"
9,core.facebook_feed_generic,11,"[""persons"", ""person""]"
10,core.facebook_feed_generic,72,"[""persons"", ""person""]"
11,core.facebook_feed_generic,106,"[""persons"", ""person""]"
12,core.facebook_feed_generic,70,"[""persons"", ""person""]"
13,core.facebook_feed_generic,40,"[""persons"", ""person""]"
14,core.facebook_feed_generic,32,"[""persons"", ""person""]"
15,core.facebook_feed_generic,29,"[""persons"", ""person""]"
16,core.facebook_feed_generic,46,"[""persons"", ""person""]"
17,core.facebook_feed_generic,110,"[""persons"", ""person""]"
18,core.facebook_feed_generic,26,"[""persons"", ""person""]"
19,core.facebook_feed_generic,41,"[""persons"", ""person""]"
20,core.facebook_feed_generic,51,"[""persons"", ""person""]"
21,core.facebook_feed_generic,30,"[""persons"", ""person""]"
22,core.facebook_feed_generic,102,"[""persons"", ""person""]"
23,core.facebook_feed_generic,36,"[""persons"", ""person""]"
24,core.facebook_feed_generic,104,"[""persons"", ""person""]"
25,core.facebook_feed_generic,39,"[""persons"", ""person""]"
26,core.facebook_feed_generic,71,"[""persons"", ""person""]"
27,core.facebook_feed_generic,45,"[""persons"", ""person""]"
28,core.facebook_feed_generic,35,"[""persons"", ""person""]"
29,core.facebook_feed_generic,16,"[""persons"", ""person""]"
30,core.facebook_feed_generic,1,"[""persons"", ""person""]"
31,core.facebook_feed_generic,38,"[""persons"", ""person""]"
32,core.facebook_feed_generic,6,"[""persons"", ""person""]"
33,core.facebook_feed_generic,83,"[""persons"", ""person""]"
34,core.facebook_feed_generic,60,"[""persons"", ""person""]"
35,core.facebook_feed_generic,103,"[""persons"", ""person""]"
36,core.facebook_feed_generic,47,"[""persons"", ""person""]"
37,core.facebook_feed_generic,66,"[""persons"", ""person""]"
38,core.facebook_feed_generic,4,"[""persons"", ""person""]"
39,core.facebook_feed_generic,48,"[""persons"", ""person""]"
40,core.facebook_feed_generic,65,"[""persons"", ""person""]"
41,core.facebook_feed_generic,33,"[""persons"", ""person""]"
42,core.facebook_feed_generic,42,"[""persons"", ""person""]"
43,core.facebook_feed_generic,78,"[""persons"", ""person""]"
44,core.facebook_feed_generic,113,"[""persons"", ""person""]"
45,core.facebook_feed_generic,81,"[""persons"", ""person""]"
46,core.facebook_feed_generic,80,"[""persons"", ""person""]"
47,core.facebook_feed_generic,15,"[""persons"", ""person""]"
48,core.facebook_feed_generic,18,"[""persons"", ""person""]"
49,core.facebook_feed_generic,75,"[""persons"", ""person""]"
50,core.facebook_feed_generic,5,"[""persons"", ""person""]"
51,core.facebook_feed_generic,69,"[""persons"", ""person""]"
52,core.facebook_feed_generic,2,"[""persons"", ""person""]"
53,core.facebook_feed_generic,85,"[""persons"", ""person""]"
54,core.facebook_feed_generic,119,"[""persons"", ""person""]"
55,core.facebook_feed_generic,118,"[""persons"", ""person""]"
56,core.facebook_feed_generic,49,"[""persons"", ""person""]"
57,core.facebook_feed_generic,77,"[""persons"", ""person""]"
58,core.facebook_feed_generic,52,"[""persons"", ""person""]"
59,core.facebook_feed_generic,34,"[""persons"", ""person""]"
60,core.facebook_feed_generic,79,"[""persons"", ""person""]"
61,core.facebook_feed_generic,82,"[""persons"", ""person""]"
62,core.facebook_feed_generic,37,"[""persons"", ""person""]"
63,core.facebook_feed_generic,86,"[""persons"", ""person""]"
64,core.facebook_feed_generic,117,"[""persons"", ""person""]"
65,core.facebook_feed_generic,47,"[""persons"", ""person""]"
66,core.facebook_feed_generic,19,"[""persons"", ""person""]"
67,core.facebook_feed_generic,118,"[""persons"", ""person""]"
68,core.facebook_feed_generic,76,"[""persons"", ""person""]"
69,core.facebook_feed_generic,74,"[""persons"", ""person""]"
70,core.facebook_feed_generic,120,"[""persons"", ""person""]"
